VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE
3HCFDDE89SH220903,13041.25,Replaced Steering Wheel,Customer States Heated Steering Wheel Inop,02-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Silverline Motors,St Johns,13 13992/309484,Apex Auto Sales,St Johns,MI,1,488799101,6,8872,0,0 0310,T03.0351,US,13,FE9,FTB,130,Freg_Pol,370.03,370.03,61.46,LZ0,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2210291Mftx0188,287827,S2210121Cnjx0941,2820879995,6,1,N,Cf18543,,21,0,1
1HRFFEE8XSZ230636,13028,Technician Found The Steering Column Plastic Trim Was Not Aligned Properly Adjusted Trim And Found The Customer Concern Is Nolonger Present,Heated Steering Wheel Inop,03-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Velocity Auto Group,Fishers,13 14819/243038,Silverpeak Motors,Grand Rapids,MN,1,557444215,5,16346,0,0 0310,T03.0351,US,48,FE9,FTB,2400,Freg_Pol,307.32,307.32,291.14,LZ0,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",MQC,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",,V2210281Mftx0488,17749294,R2210881Cnjx0287,2820879995,6,1,Y,Tf18543,,10,0,1
1HYKSMRK6SZ000990,13035,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosticportandreprogrammedthesystemcalibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Testedthevehicletoverifyrepairs. Thesystem Is Now Operating As Designed.",Customer States Heated Steering Wheel Inop,04-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Jet Black,Heated Steering Wheel Module Replacement,Bev,4 Door Utility,L233,SHT,US,Crossroads Dealership,San Diego,11 46466/119152,Quantum Car Traders,San Diego,CA,1,921083521,9,8887,0,0 0310,T00.0008,US,12,YF5,FF6,130,Freg_Pol,554.0625,604.695,108.055,EN0,None,MF1,None,,V2210291Mftx0188,167638281.4,21210129Ikbp0429,2809979441,4,1,Y,6Mb26,Lux 1,10,0,1
3HCFDFEL3SH241701,13041.25,"Diagnosis Of Open Circuit Inside Wheel. Replace Steering Wheel ( 0130 .3+ .4= .7 Hrs ),Steering Wheel Replacement Gm Preauth# 498654000000",Customer States Heated Steering Wheel Inop,04-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Royal Wheels Auto Sales,Milwaukee,13 47099/113361,Summit Drive Auto,Slinger,WI,1,530869027,10,15500,0,0 0890,T06.2375,US,13,FE9,FTB,130,Freg_Pol,445.28,445.28,63.18,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212081Mfyx0422,287827,S1210822Ckjx0291,2820879995,6,1,Y,Cf18543,,10,0,1
1HRFFHEL1RZ181474,13041.25,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosticportandreprogrammedthesystemcalibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Testedthevehicletoverifyrepairs. Thesystem Is Now Operating As Designed.",Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Greenfield Auto Sales,Kellogg,11 47556/116725,Horizon Motors,Liberty Lake,WA,1,990197623,21,35493.25,0,0 0621,T06.2375,US,48,NE1,FUC,130,Freg_Pol,1439.65,1439.65,136,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212994Mgpx0790,17749294,R2212922Ckjx0928,2820879995,8,1,N,Tf18543,,10,0,1
3HRFFHED7RH167541,13026,Remove And Replace Steering Wheel,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,05-01-2024,Wheel Asm-Strg *Fawn,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,SIL,MX,Prestige Drive Motors,Omaha,13 05637/165732,Prestige Wheels,Columbus,NE,1,686012808,21,35493.25,0,0 0890,T05.3330,US,48,FE9,FTB,130,Freg_Pol,216.75,216.75,139.84,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,A2212084Mgsx0089,287827,S2212992Ckjx2842,2809498122,6,1,N,Tf18543,,16,0,1
1HRFFHEL4RZ149960,13071,Replaced Steering Message No Longer Displayed,C/S: Customer States The Service Driver Assist System Message Is On. A Dvise,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Apex Vehicle Sales,Smithtown,13 02278/273131,Sterling Auto Traders,Bay Shore,NY,1,117061211,2,35493.25,0,0 0621,T06.2375,US,48,NE1,FUC,130,Freg_Pol,1488.94,1488.94,150.03,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212914Mgpx0299,17749294,R2212982Ckjx0282,2809208122,24,1,Y,Tf18543,,10,0,1
3HCFDFED4SH352945,13041.25,Replaced Steering Wheel.,Customer States Heated Steering Wheel Inop,05-01-2024,Wheel Asm-Strg *Black,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Ccf,SIL,MX,Prestige Drive Motors,Saint Louis,13 13858/113450,Luxeline Auto,Saint Cloud,OH,1,439508512,3,4065,0,0 0310,Lgmxt05.3386,US,13,NE1,FUC,130,Freg_Pol,427.08,427.08,57.61,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,A2212881Mf1X2422,287827,S1212982Ckjx2188,2820879995,4,1,N,Cf18543,,15,0,1
1HRF9CED6NZ221061,13041.25,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States Heated Steering Wheel Inop,08-01-2024,Wheel Asm-Strg *Black,Steering Wheel Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Summit Auto Traders,Madison,13 28387/166196,Legacy Car Sales,Madison,OH,1,440572570,21,31611,0,0 0313,Lgmxt05.3386,US,48,FE9,FTB,50,Freg_Pol,554.0625,604.695,108.055,L84,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MQB,"Byt 10 Spd, 10R80, Atss, Etrs, Cpa, Gen 2",,T1220882Jw9X2294,17749294,R2220422Xkjx0272,2820879995,2,1,N,Cf18543,,16,0,1
1HRFFHEL8RZ133325,13074,"Diagnosis Of Open Circuit Inside Wheel. Replace Steering Wheel ( 0130 .3+ .4= .7 Hrs ),Steering Wheel Replacement Gm Preauth# 498654000000",Horn And Steering Wheel Switches Are Inoperable,09-01-2024,Applique Asm-Strg Whl Tr Spoke Cvr *Vulcan,Heated Steering Wheel Module Replacement,Full Size Trucks,Extended Cab,T1Cgf,FTW,US,Truevalue Motors,Belleville,11 40119/299131,Primeedge Motors,Belleville,IL,1,622263101,4,8304,0,0 0621,T06.2375,US,48,FE9,FTB,130,Freg_Pol,1147.09,1147.09,146.06,L87,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",MHS,"Byt 10 Spd, 10L60, Gen 1, Atss, Etrs, Var 1",,N2212294Mgpx0128,17749294,R2212112Ckjx2084,2821988724,4,1,Y,Tf18543,,10,1,1
